"","nconst","primaryName","birthYear","deathYear","primaryProfession","knownForTitles"
"2750614","nm1190816","Dylan Reeve","\N","\N","editorial_department,director,editor","tt4263478,tt5278506,tt4623070,tt2317187"
"2755707","nm1191340","Madison Turner","\N","\N","stunts,actor,writer","tt5503688,tt1327773,tt1345836"
"2757044","nm1191481","Leigh Whannell","1977","\N","actor,writer,producer","tt2490326,tt1051906,tt0387564,tt6499752"
"2761014","nm1191891","Jay Lavender","1975","\N","writer,producer,director","tt1535607,tt0884732,tt3532608,tt0452594"
"2770548","nm1192866","Stevie Long","1972","\N","producer,writer,actor","tt0335438,tt0494277"
"2771850","nm1193005","Sung-ho Kim","\N","\N","director,writer,actor","tt12038260,tt2961802,tt0372937,tt3812402"
"2775138","nm1193346","Sean Ellis","1970","\N","director,writer,producer","tt1845838,tt4190530"
"2776164","nm11934560","Avinash Ghodke","\N","\N","writer","tt7692832,tt1849718,tt13263706"
"2778117","nm11936542","Vaibhav Vishal","\N","\N","writer,script_department,actor","tt10483386,tt6112414,tt15471900,tt12392504"
"2784512","nm1194320","Rahul Dholakia","\N","\N","director,writer,producer","tt1309561,tt0433425,tt1637718,tt3405236"
"2786922","nm1194570","Hilary Galanoy","\N","\N","writer,miscellaneous,producer","tt11100856,tt9860728,tt12972410,tt1835977"
"2793540","nm1195250","Hriday Lani","\N","\N","writer,music_department,soundtrack","tt0200087,tt0102701,tt0115484,tt0814295"
"2796320","nm1195553","Johan Melin","\N","\N","writer,director,producer","tt6793198,tt1463449,tt0448596,tt7253288"
"2796639","nm1195585","Sermiyan Midyat","1974","\N","actor,writer,director","tt6005206,tt5608972,tt1526284,tt3672132"
"2797672","nm1195697","Kiel Murray","\N","\N","writer,miscellaneous,producer","tt0317219,tt5109280,tt3623618,tt1520978"
"2797827","nm1195712","Mohan Nair","\N","\N","writer,sound_department","tt7026666,tt1821536,tt0367495,tt0455829"
"2798297","nm1195760","Damian Nieman","\N","\N","writer,director,actor","tt0323939,tt5883756,tt6629054,tt4568424"
"2804784","nm11964394","Shika Ogura","\N","\N","editor,writer,miscellaneous","tt3204012,tt12415546,tt0994314,tt0434694"
